,dataset,size,nb_clusters,sparsity,non_zero_skew,non_zero_kurosis,max_value,non_zero_mean,non_zero_median,dropout_rate,cluster_sizes
0,data_-0.5c4,1000 x 2500,4,0.3059524,5.904967079720112,47.414477704037246,2675,34.76192468643361,11.0,[0.11153492],"(271, 263, 253, 213)"
1,data_1c4,1000 x 2500,4,0.443902,5.309306744392031,38.2580432364946,2675,41.36125503058813,14.0,[0.28812713],"(271, 263, 253, 213)"
2,data_-1c4,1000 x 2500,4,0.278958,6.014687291082534,49.203858093152135,2675,33.682916113069695,10.0,[0.07697881],"(271, 263, 253, 213)"
3,data_0c4,1000 x 2500,4,0.3422924,5.753917689099611,44.99753884625288,2675,36.30975710178809,12.0,[0.15805452],"(271, 263, 253, 213)"
4,data_0.5c4,1000 x 2500,4,0.3880524,5.55769338048505,41.95849296304898,2675,38.43625434596034,13.0,[0.21663287],"(271, 263, 253, 213)"
5,data_1c5,1250 x 2500,5,0.448184,5.226338247671065,34.54799571363215,2445,41.606518114733895,13.0,[0.29352787],"(270, 263, 262, 232, 223)"
6,data_0c5,1250 x 2500,5,0.34466208,5.689426007611666,41.081983559218884,2445,36.35357099433526,11.0,[0.16099211],"(270, 263, 262, 232, 223)"
7,data_0.5c5,1250 x 2500,5,0.3915168,5.485098889112439,38.13172376745154,2445,38.5719759559508,12.0,[0.22097869],"(270, 263, 262, 232, 223)"
8,data_-1c5,1250 x 2500,5,0.2805008,5.9568130421613885,45.11081579786484,2445,33.68150513579445,10.0,[0.0788485],"(270, 263, 262, 232, 223)"
9,data_-0.5c5,1250 x 2500,5,0.30780416,5.8448511282128965,43.400923202536724,2445,34.776566816697425,10.0,[0.11380411],"(270, 263, 262, 232, 223)"
10,data_-1c6,1500 x 2500,6,0.2784232,5.834020339130948,43.948367815915596,2183,33.57063105872214,10.0,[0.07863111],"(269, 260, 252, 251, 239, 229)"
11,data_1c6,1500 x 2500,6,0.446992,5.117669988353576,33.67835755635517,2183,41.51122491296087,13.0,[0.29387369],"(269, 260, 252, 251, 239, 229)"
12,data_0.5c6,1500 x 2500,6,0.39019013333333336,5.370233048054398,37.13678039933316,2183,38.469435063256874,12.0,[0.22134437],"(269, 260, 252, 251, 239, 229)"
13,data_0c6,1500 x 2500,6,0.3429664,5.571557990459342,40.026486831022204,2183,36.24773811669094,11.0,[0.16104521],"(269, 260, 252, 251, 239, 229)"
14,data_-0.5c6,1500 x 2500,6,0.3062864,5.7222428421622435,42.25528106087831,2183,34.683733460033075,10.0,[0.11420915],"(269, 260, 252, 251, 239, 229)"
15,data_0.5c7,1750 x 2500,7,0.4126788571428571,5.372226042030915,40.252006815389976,2378,39.81235751285254,11.0,[0.23221085],"(273, 272, 266, 243, 234, 232, 230)"
16,data_-0.5c7,1750 x 2500,7,0.3272886857142857,5.740820643391923,45.95994711632948,2378,35.62004673964157,10.0,[0.12058257],"(273, 272, 266, 243, 234, 232, 230)"
17,data_0c7,1750 x 2500,7,0.36508914285714283,5.581412188995135,43.4463337756928,2378,37.37012277989081,10.0,[0.1699981],"(273, 272, 266, 243, 234, 232, 230)"
18,data_-1c7,1750 x 2500,7,0.29893051428571427,5.8582590143975,47.85795548609498,2378,34.40145162704883,9.0,[0.0835107],"(273, 272, 266, 243, 234, 232, 230)"
19,data_1c7,1750 x 2500,7,0.4695894857142857,5.113728656612763,36.48395434323279,2378,43.17350399431858,12.0,[0.30660859],"(273, 272, 266, 243, 234, 232, 230)"
